"filename", "language", "Markdown", "C#", "XML", "MS SQL", "ASP.NET Razor", "PostCSS", "JavaScript", "comment", "blank", "total"
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\UrunEkleForm.Designer.cs", "C#", 0, 386, 0, 0, 0, 0, 0, 95, 9, 490
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\UrunEkleForm.cs", "C#", 0, 176, 0, 0, 0, 0, 0, 1, 28, 205
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\UrunlerForm.Designer.cs", "C#", 0, 260, 0, 0, 0, 0, 0, 68, 9, 337
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\UrunlerForm.cs", "C#", 0, 378, 0, 0, 0, 0, 0, 24, 60, 462
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Helpers\CurrencyHelper.cs", "C#", 0, 18, 0, 0, 0, 0, 0, 9, 6, 33
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Helpers\DataGridViewHelper.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Helpers\DebugLogger.cs", "C#", 0, 42, 0, 0, 0, 0, 0, 2, 9, 53
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Helpers\PaginationHelper.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Helpers\ValidationHelper.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\MiniERP.WinForms.csproj", "XML", 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Models\PurchaseInvoiceDetailItem.cs", "C#", 0, 66, 0, 0, 0, 0, 0, 0, 15, 81
