"filename", "language", "C#", "XML", "Markdown", "PostCSS", "ASP.NET Razor", "JavaScript", "MS SQL", "comment", "blank", "total"
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Services\IAuthService.cs", "C#", 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Services\ICariAccountService.cs", "C#", 30, 0, 0, 0, 0, 0, 0, 4, 4, 38
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Services\ICollectionService.cs", "C#", 19, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Services\IPaymentService.cs", "C#", 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Services\IProductService.cs", "C#", 26, 0, 0, 0, 0, 0, 0, 3, 3, 32
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Services\IPurchaseInvoiceService.cs", "C#", 26, 0, 0, 0, 0, 0, 0, 5, 5, 36
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Services\ISalesInvoiceService.cs", "C#", 25, 0, 0, 0, 0, 0, 0, 5, 5, 35
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Services\IStockService.cs", "C#", 45, 0, 0, 0, 0, 0, 0, 6, 6, 57
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Services\IUserService.cs", "C#", 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Services\PaymentService.cs", "C#", 337, 0, 0, 0, 0, 0, 0, 13, 57, 407
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Services\ProductService.cs", "C#", 434, 0, 0, 0, 0, 0, 0, 5, 73, 512
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Services\PurchaseInvoiceService.cs", "C#", 408, 0, 0, 0, 0, 0, 0, 9, 60, 477
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Services\SalesInvoiceService.cs", "C#", 458, 0, 0, 0, 0, 0, 0, 15, 89, 562
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Services\StockService.cs", "C#", 733, 0, 0, 0, 0, 0, 0, 13, 103, 849
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Services\UserService.cs", "C#", 303, 0, 0, 0, 0, 0, 0, 7, 50, 360
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Controllers\ApiTestController.cs", "C#", 340, 0, 0, 0, 0, 0, 0, 8, 39, 387
